546	2	346
547	13	358
548	5	369
549	7	384
550	5	389
551	3	392
552	13	393
553	6	395
554	4	411
555	3	423
556	8	424
557	8	426
558	3	447
559	2	448
560	10	474
561	8	475
562	10	482
563	12	489
564	13	497
565	6	508
566	14	510
567	1	86
568	8	97
569	1	153
570	8	170
571	7	178
572	4	181
573	8	184
574	3	239
575	1	242
576	6	270
577	1	273
578	8	277
579	2	287
580	3	293.01
581	11	308
582	1	311
583	11	313
584	10	314
585	6	323
586	4	324
587	8	338
588	3	339
589	5	370
590	8	388
591	4	397
592	9	412
593	10	414
594	9	416
595	3	435
596	2	457
597	11	461
598	11	470
599	17	362
600	37	377
601	3	574
602	2	595
603	11	629
604	47	856
605	11	873
606	24	915
607	20	1124
608	33	1132
609	27	1177
610	2	1236
611	23	1285
612	4	1294
613	42	1297
614	7	1302
615	2	1479
616	2	1481
617	27	1664
618	8	1742
619	5	2064
620	28	2090
621	13	2108
622	8	2130
623	32	2187
624	29	2286
625	1	2336
626	35	2343
627	8	2376
628	28	2403
629	33	5
630	1	64
631	3	156
632	3	166
633	1	173
634	1	190
635	5	194
636	11	201
637	1	228
638	1	263
639	8	272
640	3	285
641	1	293
642	1	312
643	4	313
644	3	381
645	1	421
646	8	468
647	10	480
648	1	500
649	1	544
650	1	546
651	3	627
652	24	631
653	2	641
654	19	652
655	18	694
656	11	713
657	1	730
658	3	754
659	6	755
660	8	763
661	7	767
662	1	811
663	1	909
664	7	912
665	2	932
666	15	939
667	14	959
668	8	994
669	1	1057
670	5	1074
671	1	3
672	11	10.01
673	7	18
674	1	33
675	3	73
676	4	80
677	3	81
678	1	85
679	2	86
680	4	89
681	6	91
682	2	94
683	3	95
684	4	101
685	8	104
686	2	110
687	1	110
688	2	114
689	1	123
690	1	126
691	2	127
692	6	134.01
693	6	135
694	2	143
695	4	146
696	1	147
697	3	151
698	6	154
699	8	156
700	1	161
701	8	162
702	1	165
703	1	177
704	2	181
705	5	195
706	3	208
707	3	223
708	1	226
709	2	252
710	1	266
711	9	268
712	1	280
713	8	282
714	1	291
715	1	292
716	6	294
717	3	296
718	5	297
719	3	309
720	1	315
721	7	326
722	3	329
723	8	333
724	13	341
725	1	345
726	8	353.01
727	9	359
728	6	360
729	8	361
730	7	363
731	1	370
732	3	373
733	1	382
734	7	386
735	3	387
736	6	425
737	12	441
738	11	453
739	7	460
740	9	496
741	4	505
742	1	514
743	10	517
744	1	519
745	8	521
746	11	525
747	5	528
748	14	534
749	3	541
750	5	542
751	5	549
752	13	556
753	3	573
754	10	592
755	7	595
756	1	600
757	2	607
758	13	609
759	6	615
760	9	616
761	8	617
762	11	626
763	9	634
764	5	645
765	3	646
766	8	658
767	1	662
768	9	665
769	11	674
770	4	681
771	8	686
772	5	697
773	9	698
774	5	704
775	12	705
776	14	706
777	7	708
778	7	710
779	3	711
780	5	718
781	9	722
782	5	723
783	17	724
784	8	731
785	3	733
786	1	738
787	9	57
788	1	91
789	2	120.01
790	5	131
791	7	206
792	1	213
793	1	260
794	11	425
795	8	426
796	4	431
797	8	443
798	14	465
799	22	504
800	6	746
801	6	752
802	1	761
803	6	775
804	14	792
805	15	818
806	18	826
807	7	855
808	8	879
809	5	49
810	15	71
811	1	120
812	7	433
813	44	441
814	4	471
815	22	486
816	1	498
817	49	506
818	8	582
819	30	583
820	70	622
821	11	676
822	17	690
823	10	799
824	31	816
825	2	818
826	22	823
827	9	827
828	17	857
829	37	863
830	8	879
831	64	891
832	7	903
833	21	934
834	30	941
835	10	1106
836	31	1109
837	25	1118
838	5	1123
839	43	1145
840	5	1158
841	31	1174
842	4	1212
843	34	1214
844	29	1217
845	7	1241
846	27	1303
847	5	1312
848	12	1315
849	29	1336
850	6	1342
851	34	1361
852	45	1362
853	19	1393
854	32	1418
855	18	1433
856	14	1438
857	10	1453
858	47	1490
859	47	1492.01
860	7	1493
861	18	1600
862	3	1603
863	2	1874
864	15	2060
865	30	2143
866	28	2287
867	28	2298
868	5	2308
869	17	2310
870	20	2322
871	20	2323
872	17	2365
873	10	2385
874	8	2387
875	2	2393
876	14	2410
877	27	2477
878	5	2487
879	33	2514
880	41	2517
881	42	2573
882	32	2598
883	16	2600
884	23	2668
885	1	2681
886	2	2685
887	21	2752
888	18	2757
889	15	2817
890	50	2821
891	7	2826
892	7	2831
893	24	2834
894	31	2840
895	26	2851
896	35	2859
897	23	2875
898	6	2878
899	5	2880
900	53	2881
901	32	2883
902	45	2895
903	6	2906
904	33	2907
905	28	2908
906	12	2917
907	9	73
908	9	703
909	6	964
910	12	1093
911	13	1591
912	34	1598
913	27	2946
914	14	2970
915	19	3039
916	45	3079
917	29	3206
918	14	3274
919	45	3288
920	11	646
921	80	1056
922	16	1149
923	25	1508
924	2	1570
925	6	1639
926	6	2950
927	44	3005
928	19	3056
929	13	3096
930	33	3108
931	27	3115
932	33	3243
